252371,90,4,4,Right,243,53,j._bellingham_gold,Controlled,Average Tall,Gold,320000
239053,89,4,3,Right,243,53,f._valverde_gold,Controlled,Unique,Gold,340000
212622,89,4,3,Right,21,19,j._kimmich_gold,Mostly Explosive,Average,Gold,140000
235212,89,4,4,Right,73,16,a._hakimi_gold,Controlled Explosive,Lean,Gold,170000
224232,87,4,3,Right,44,31,n._barella_gold,Explosive,Average,Gold,69000
208128,86,5,4,Right,44,31,h._çalhanoğlu_gold,Mostly Explosive,Average,Gold,61000
226268,85,4,3,Left,44,31,f._dimarco_gold,Mostly Explosive,Average,Gold,54000
239837,87,3,3,Right,9,13,a._mac_allister_gold,Controlled Explosive,Average,Gold,180000
231866,90,4,3,Right,10,13,rodri_gold,Lengthy,Average Tall,Gold,270000
194765,85,3,4,Left,240,53,a._griezmann_gold,Mostly Explosive,Unique,Gold,115000
232656,84,3,4,Left,605,350,t._hernández_gold,Controlled,Unique,Gold,65000
212198,87,4,4,Right,11,13,bruno_fernandes_gold,Controlled Explosive,Unique,Gold,165000
246191,87,4,4,Right,240,53,j._alvarez_gold,Explosive,Average,Gold,125000
231281,86,4,3,Right,243,53,t._alexander-arnold_gold,Controlled,Unique,Gold,250000
244675,84,4,4,Right,448,53,sancet_gold,Controlled,Lean Tall,Gold,66000
210008,83,3,3,Left,47,31,a._rabiot_gold,Mostly Lengthy,Lean Tall,Gold,71000
212616,84,3,4,Right,112893,39,r._de_paul_gold,Controlled,Average,Gold,100000
241096,86,4,3,Right,13,13,s._tonali_gold,Controlled,Unique,Gold,175000
226161,84,4,3,Right,240,53,marcos_llorente_gold,Controlled,Lean,Gold,95000
209658,82,4,3,Right,21,19,l._goretzka_gold,Mostly Lengthy,Unique,Gold,78000
255253,89,3,4,Right,73,16,vitinha_gold,Mostly Explosive,Lean,Gold,170000
209331,91,3,4,Left,9,13,m._salah_gold,Controlled Explosive,Unique,Gold,370000
204923,80,4,3,Right,22,19,m._sabitzer_gold,Controlled,Average,Gold,52000
234378,87,3,3,Right,1,13,d._rice_gold,Mostly Lengthy,Average Tall,Gold,210000
210514,84,4,4,Right,605,350,joão_cancelo_gold,Mostly Explosive,Unique,Gold,68000
228702,87,3,4,Right,241,53,f._de_jong_gold,Mostly Explosive,Unique,Gold,170000
240638,86,4,4,Right,10,13,t._reijnders_gold,Controlled,Lean Tall,Gold,190000
236772,83,4,4,Right,9,13,d._szoboszlai_gold,Controlled,Average Tall,Gold,110000
233419,89,4,4,Left,241,53,raphinha_gold,Mostly Explosive,Lean,Gold,200000
246669,88,4,3,Left,1,13,b._saka_gold,Mostly Explosive,Lean,Gold,230000
223848,84,5,4,Right,605,350,s._milinković-savić_gold,Lengthy,Average Tall,Gold,70000
251854,89,4,4,Right,241,53,pedri_gold,Mostly Explosive,Lean,Gold,170000
247851,86,2,3,Right,13,13,bruno_guimarães_gold,Controlled,Lean,Gold,190000
231443,90,5,5,Left,73,16,o._dembélé_gold,Mostly Explosive,Unique,Gold,220000
272834,85,4,3,Right,73,16,joão_neves_gold,Controlled,Average,Gold,90000
246104,85,4,4,Right,9,13,r._gravenberch_gold,Controlled,Lean Tall,Gold,125000
231478,88,4,4,Right,44,31,l._martínez_gold,Controlled Explosive,Unique,Gold,79000
192883,83,5,4,Right,44,31,h._mkhitaryan_gold,Mostly Explosive,Average,Gold,37000
192985,87,5,4,Right,48,31,k._de_bruyne_gold,Controlled,Unique,Gold,175000
240679,81,2,3,Left,45,31,t._koopmeiners_gold,Controlled,Average,Gold,120000
247635,87,5,5,Right,73,16,k._kvaratskhelia_gold,Controlled Explosive,Average,Gold,140000
210035,84,2,4,Left,32,19,grimaldo_gold,Mostly Explosive,Lean,Gold,110000
238074,81,4,3,Right,5,13,r._james_gold,Controlled,Stocky,Gold,115000
208574,81,2,3,Left,45,31,f._kostić_gold,Controlled,Average,Gold,125000
238216,81,4,3,Right,240,53,c._gallagher_gold,Controlled,Average,Gold,70000
225193,83,3,3,Left,1,13,mikel_merino_gold,Mostly Lengthy,Average Tall,Gold,160000
247090,84,4,3,Right,5,13,e._fernández_gold,Controlled Explosive,Average,Gold,140000
209297,80,4,4,Left,326,68,fred_gold,Mostly Explosive,Lean Short,Gold,60000
197445,82,4,3,Left,243,53,d._alaba_gold,Controlled,Average,Gold,185000
226754,80,3,3,Left,211,317,i._bennacer_gold,Mostly Explosive,Average,Gold,25000
263205,80,3,4,Right,325,68,b._yılmaz_gold,Controlled,Average Tall,Gold,55000
243576,82,3,3,Right,18,13,pedro_porro_gold,Mostly Explosive,Average,Gold,105000
231747,91,4,5,Right,243,53,k._mbappé_gold,Mostly Explosive,Unique,Gold,610000
222665,87,2,5,Left,1,13,m._ødegaard_gold,Controlled Explosive,Lean,Gold,220000
