252371,80,86,83,90,78,85,81,80,91,88,86,87,77,74,90,66,68,90,89,73,83,83,91,91,91,90,82,75,77,79,77,85,94,80,85,14,11,10,5,8
239053,88,84,84,84,83,85,84,92,86,80,91,91,78,59,86,78,69,88,88,76,77,68,89,88,84,84,86,63,82,87,86,82,93,82,81,6,10,6,15,8
212622,72,74,89,84,83,79,75,70,78,68,78,83,69,71,86,92,79,89,92,85,83,84,89,86,82,86,85,72,82,86,85,77,92,69,89,8,15,7,15,15
235212,92,79,82,83,82,79,89,95,84,80,82,77,74,68,78,85,80,86,73,78,81,78,90,85,82,84,85,71,82,85,79,84,95,72,77,10,8,14,6,8
224232,80,78,84,86,81,76,82,78,84,77,80,79,80,73,85,79,67,89,87,79,91,88,91,87,84,88,85,60,80,85,80,75,89,66,87,11,5,13,14,11
208128,71,81,87,82,81,73,74,68,73,75,87,87,78,92,89,78,85,90,89,88,83,77,87,87,78,85,82,65,81,85,80,73,81,65,83,9,14,11,6,10
226268,80,78,84,82,79,77,83,78,83,74,81,84,82,71,80,87,83,84,83,88,84,81,83,86,79,78,80,69,81,81,79,81,84,72,81,9,8,12,7,7
239837,66,82,85,85,78,76,68,64,78,79,88,85,77,86,86,79,82,88,87,83,82,86,89,86,84,86,80,65,78,83,74,72,87,69,83,7,10,14,15,10
231866,65,80,86,84,86,85,65,65,76,74,92,89,71,62,84,76,64,93,91,86,66,67,93,90,84,93,84,81,88,87,82,83,91,83,85,10,10,7,14,8
194765,77,86,85,88,59,73,80,75,87,86,85,86,86,79,86,82,85,86,83,89,88,85,87,90,86,88,59,79,45,63,64,84,77,70,74,14,8,14,13,14
232656,90,76,78,83,79,83,88,92,80,71,86,74,80,74,75,84,74,81,70,80,83,71,83,84,83,80,78,76,76,84,76,90,87,80,83,12,10,7,7,7
212198,67,83,89,83,65,75,68,66,86,80,86,85,87,91,92,85,85,90,90,85,78,73,90,87,82,85,63,63,62,71,66,69,95,61,84,12,14,15,8,14
246191,85,87,81,87,57,79,86,85,88,88,88,86,84,78,83,77,80,83,78,87,87,87,88,88,87,86,52,78,60,55,46,86,85,72,86,6,10,8,15,6
231281,76,72,89,80,80,74,72,79,79,64,85,76,71,66,88,93,85,87,91,91,73,72,85,85,79,82,84,69,78,82,79,75,89,68,70,14,15,14,6,7
