252371,"Relentless +, Low Driven Shot, Gamechanger, Inventive, Slide Tackle, Technical, First Touch"
239053,"Relentless +, Power Shot, Long Ball Pass, Intercept, Slide Tackle, Aerial Fortress, Rapid"
212622,"Long Ball Pass +, Finesse Shot, Whipped Pass, Anticipate, Press Proven, Relentless"
235212,"Relentless +, Low Driven Shot, Whipped Pass, Jockey, Anticipate, Press Proven, Quick Step"
224232,"Relentless +, Incisive Pass, Pinged Pass, Long Ball Pass, Jockey, Intercept, Press Proven"
208128,"Incisive Pass +, Dead Ball, Long Ball Pass, Inventive, Technical, First Touch, Relentless"
226268,"Finesse Shot, Power Shot, Dead Ball, Low Driven Shot, Whipped Pass, First Touch"
239837,"Pinged Pass +, Power Shot, Dead Ball, Gamechanger, Block, Press Proven"
231866,"Tiki Taka +, Power Shot, Long Ball Pass, Aerial Fortress, Press Proven, Bruiser"
194765,"Chip Shot +, Finesse Shot, Gamechanger, Incisive Pass, Long Ball Pass, Inventive, Technical"
232656,"Dead Ball, Block, Anticipate, Rapid, Quick Step, Bruiser"
212198,"Relentless +, Dead Ball, Gamechanger, Incisive Pass, Long Ball Pass, Tiki Taka, Inventive"
246191,"Press Proven +, Finesse Shot"
231281,"Whipped Pass +, Dead Ball, Incisive Pass, Long Ball Pass, Relentless"
244675,"Finesse Shot, Precision Header, Technical, First Touch"
210008,"Precision Header, First Touch, Press Proven"
212616,"Finesse Shot, Incisive Pass, Long Ball Pass, Technical"
241096,"Slide Tackle, Relentless, Enforcer"
226161,"Power Shot, Whipped Pass, Rapid, Quick Step, Relentless"
209658,"Power Shot, Precision Header, Incisive Pass, Aerial Fortress, Bruiser"
255253,"Technical +, Finesse Shot, Incisive Pass, Long Ball Pass, Tiki Taka, Intercept, Relentless"
209331,"Finesse Shot +, Low Driven Shot, Gamechanger, Whipped Pass, Inventive, Technical, First Touch"
204923,"Power Shot, Pinged Pass"
234378,"Dead Ball, Whipped Pass, Block, Intercept, Aerial Fortress, Press Proven, Relentless"
210514,"Whipped Pass, Inventive, Block, Technical, First Touch"
228702,"Tiki Taka +, Incisive Pass, Inventive, Press Proven"
240638,"Tiki Taka +, Finesse Shot, Power Shot, Incisive Pass, Technical"
236772,"Power Shot, Whipped Pass, Technical"
233419,"Rapid +, Finesse Shot, Power Shot, Trickster, Quick Step, Relentless"
246669,"Whipped Pass +, Finesse Shot, Technical"
223848,"Dead Ball, Precision Header, Incisive Pass, Pinged Pass, Inventive, Aerial Fortress, First Touch"
251854,"First Touch +, Incisive Pass, Long Ball Pass, Tiki Taka, Technical, Relentless"
247851,"Gamechanger, Incisive Pass, Long Ball Pass, Press Proven, Relentless"
231443,"Rapid +, Low Driven Shot, Pinged Pass, Inventive, Trickster, Quick Step"
272834,"Press Proven +, Long Ball Pass, Tiki Taka, Aerial Fortress, Relentless"
246104,"Intercept, Press Proven"
231478,"Gamechanger +, Power Shot, Precision Header, Incisive Pass, Technical, Relentless, Enforcer"
192883,"Incisive Pass, Inventive, Jockey, Anticipate, Technical, Relentless"
192985,"Whipped Pass +, Dead Ball, Incisive Pass, Pinged Pass, Inventive"
240679,Dead Ball
247635,"Inventive +, Finesse Shot, Gamechanger, Incisive Pass, Technical, Trickster"
210035,"Whipped Pass +, Finesse Shot, Dead Ball, Inventive, First Touch"
